route,family,inbound,outgoing,depth,pagerank,title,h1,canonical
"/100000-take-home-pay-uk.html","annual salary","3","11","3","0.000016264539236921153","&pound;100,000 Take Home Pay UK | Salary After Tax","£100,000 Take Home Pay in the UK","https://aftertaxtool.com/100000-take-home-pay-uk.html"
"/277000-salary-after-tax-uk.html","state annual salary","11","15","5","0.000016255956276854556","&pound;277,000 Salary After Tax UK | Take-Home Pay","&pound;277,000 After Tax UK","https://aftertaxtool.com/277000-salary-after-tax-uk.html"
"/203000-after-tax-weekly.html","weekly salary","7","12","3","0.00001624804193784211","&pound;203,000 After Tax Weekly UK | Net Pay","&pound;203,000 After Tax Weekly UK","https://aftertaxtool.com/203000-after-tax-weekly.html"
"/272000-salary-after-tax-uk.html","state annual salary","11","15","6","0.00001624646826575844","&pound;272,000 Salary After Tax UK | Take-Home Pay","&pound;272,000 After Tax UK","https://aftertaxtool.com/272000-salary-after-tax-uk.html"
"/475000-after-tax-weekly-us.html","state weekly salary","6","9","5","0.000016237366573536442","$475,000 After Tax Weekly US | Net Pay","$475,000 After Tax Weekly (US)","https://aftertaxtool.com/475000-after-tax-weekly-us.html"
"/475000-after-tax-monthly-us.html","state monthly salary","6","9","5","0.00001623736453828375","$475,000 After Tax Monthly US | Net Pay","$475,000 After Tax Monthly (US)","https://aftertaxtool.com/475000-after-tax-monthly-us.html"
"/283000-salary-after-tax-uk.html","state annual salary","11","15","5","0.000016235953137288594","&pound;283,000 Salary After Tax UK | Take-Home Pay","&pound;283,000 After Tax UK","https://aftertaxtool.com/283000-salary-after-tax-uk.html"
"/211000-after-tax-monthly.html","monthly salary","10","14","4","0.000016230186209987502","&pound;211,000 After Tax Monthly UK | Net Pay","&pound;211,000 After Tax Monthly","https://aftertaxtool.com/211000-after-tax-monthly.html"
"/109000-salary-after-tax-illinois.html","state annual salary","12","15","3","0.000016221881862967862","$109,000 Salary After Tax Illinois","$109,000 Salary After Tax Illinois","https://aftertaxtool.com/109000-salary-after-tax-illinois.html"
"/81000-after-tax-weekly-new-york.html","state weekly salary","16","24","4","0.000016208861198588216","$81,000 After Tax Weekly New York","$81,000 After Tax Weekly in New York (2026)","https://aftertaxtool.com/81000-after-tax-weekly-new-york.html"
"/68000-after-tax-weekly-california.html","state weekly salary","11","23","4","0.000016206774031073937","$68,000 After Tax Weekly California","$68,000 After Tax Weekly California (2026)","https://aftertaxtool.com/68000-after-tax-weekly-california.html"
"/25000-after-tax-monthly-new-york.html","state monthly salary","11","18","3","0.00001620358438455016","$25,000 After Tax Monthly New York","$25,000 After Tax Monthly in New York","https://aftertaxtool.com/25000-after-tax-monthly-new-york.html"
"/102000-salary-after-tax-florida.html","state annual salary","19","52","3","0.000016189681647331343","$102,000 Salary After Tax Florida","$102,000 Salary After Tax in Florida 2026","https://aftertaxtool.com/102000-salary-after-tax-florida.html"
"/91000-after-tax-monthly-texas.html","state monthly salary","17","26","4","0.00001618518482144968","$91,000 After Tax Monthly Texas","$91,000 After Tax Monthly in Texas (2026)","https://aftertaxtool.com/91000-after-tax-monthly-texas.html"
"/126000-after-tax-weekly.html","weekly salary","8","16","4","0.00001617477985058907","&pound;126,000 After Tax Weekly UK | Net Pay","&pound;126,000 After Tax Weekly in the UK","https://aftertaxtool.com/126000-after-tax-weekly.html"
"/66000-after-tax-monthly-florida.html","state monthly salary","14","21","4","0.000016172293749192","$66,000 After Tax Monthly Florida","$66,000 After Tax Monthly in Florida","https://aftertaxtool.com/66000-after-tax-monthly-florida.html"
"/16-an-hour-salary-uk.html","other","2","13","3","0.00001616872564374688","&pound;16 an Hour Salary UK | Annual and Take-Home Pay","&pound;16 an Hour Salary UK","https://aftertaxtool.com/16-an-hour-salary-uk.html"
"/545000-after-tax-weekly-us.html","state weekly salary","8","11","7","0.000016167284113081145","$545,000 After Tax Weekly US | Net Pay","$550,000 After Tax Weekly in the US","https://aftertaxtool.com/545000-after-tax-weekly-us.html"
"/81000-after-tax-weekly-california.html","state weekly salary","15","24","4","0.000016162824862996133","$81,000 After Tax Weekly California","$81,000 After Tax Weekly in California (2026)","https://aftertaxtool.com/81000-after-tax-weekly-california.html"
"/102000-salary-after-tax-alabama.html","state annual salary","10","30","3","0.000016147307729767964","$102,000 After Tax in Alabama | Take-Home Pay","$102,000 Salary After Tax in Alabama","https://aftertaxtool.com/102000-salary-after-tax-alabama.html"
